Id,Name,Gender,placeOfBirth,Artist Entity
12918,Ruth Baehnisch,0,0,Q94774202
2618,A. Belloguet,0,0,0
18264,Nikolaj Bendix Skyum Larsen,0,0,Q38054711
18242,Caroline Bergvall,0,0,Q5044980
3807,Samuel Cooper,0,0,Q1382316
14308,Eugenio Espinoza,0,0,Q77349603
6642,Josif Gerasimovich,0,0,0
18244,Lawrence Abu Hamdan,0,0,Q28124166
3819,Stephen Herwijck,0,0,Q7615415
2259,Highmore,0,0,0
13334,Enrique Huerta,0,0,Q29419664
4561,Inventory,0,0,0
5741,Sergei Ivanov,0,0,0
3092,K.O.S.,0,0,0
5676,Georgii Kibardin,0,0,0
17121,Nikolai Kochergin,0,0,Q43906005
5645,Nikolai Kogout,0,0,Q15068972
17127,Vladimir Kozlinsky,0,0,0
10957,KwieKulik,0,0,0
2633,Lairesse,0,0,Q533958
1474,Robin Laurie,0,0,0
5813,Alexander Lebedev,0,0,Q16670267
1138,London Gallery,0,0,0
1542,Alex Mackay,0,0,0
2515,A Marsingall,0,0,0
2581,J. Martin  of Canterbury,0,0,0
2516,E. Masters,0,0,0
17135,Dmitrii Melnikov,0,0,0
2538,Francis Merivale,0,0,0
5648,Dmitrii Moor,0,0,Q504262
17008,James Orrock,0,0,Q6140661
18372,Sylvia Pankhurst,0,0,Q298213
18267,Pallavi Paul,0,0,0
11736,Osmar Peçanha,0,0,0
5673,Sergei Ivanovich Pichugin,0,0,0
11741,Paulo Pires,0,0,Q77288304
12600,Olivia Plender,0,0,0
1783,Anne and Patrick Poirier,0,0,0
15967,R. H. Quaytman,0,"Boston, United States",Q13560749
18896,Hester Reeve,0,0,0
1830,Ingmar Reuter,0,0,0
13335,Emilio Rivera,0,0,0
7965,Russian School,0,0,0
17224,William Staite-Murray,0,0,Q8018707
5739,Adolf Strakhov-Braslavsky,0,0,Q4443469
11739,Dalmo Teixeira Filho,0,0,0
2537,Tollemache,0,0,0
17656,Léonard Cosme Totchemetcheho,0,0,0
17134,V.Ch.K.,0,0,0
17036,Adolphe Valette,0,0,Q3237916
17129,Vara,0,0,0
2107,Dee Villers,0,0,0
17732,Francis Vivares,0,0,Q5493438
11825,Imke Wagener,0,0,0
13099,Jakub Julian Ziolkowski,0,0,Q1267768
