,Id,Name,Nationality,Gender,DateAcquired
0,1,Robert Arneson,American,Male,1981
2,2,Doroteo Arnaiz,Spanish,Male,1965
3,3,Bill Arnold,American,Male,1972
29,4,Charles Arnoldi,American,Male,1981
30,5,Per Arnoldi,Danish,Male,1981
48,6,Danilo Aroldi,Italian,Male,0
49,7,Bill Aron,American,Male,1981
50,9,David Aronson,American,Male,1952
51,10,Irene Aronson,American,Female,1952
52,11,Jean (Hans) Arp,French,Male,1956
270,12,Jüri Arrak,Estonian,Male,1988
271,13,J. Arrelano Fischer,Mexican,Male,1942
272,15,Folke Arstrom,Swedish,Male,1954
273,16,Cristobal Arteche,Spanish,Male,1936
274,18,Artko,0,0,1968
275,19,Richard Artschwager,American,Male,1970
329,21,Ruth Asawa,American,Female,1974
385,22,Isidora Aschheim,Israeli,Female,1954
386,23,Charles Robert Ashbee,British,Male,1977
387,24,Donald Ashcraft,American,Male,1954
388,25,E. M. Ashe,American,Male,1940
389,26,Göran Åslin,Swedish,0,1983
391,27,Erik Gunnar Asplund,Swedish,Male,1990
424,28,Geneviève Asse,French,Female,1991
474,30,Sergio Asti,Italian,Male,1965
481,31,Dana Atchley,American,Female,1970
488,32,Atelier Eggers,French,0,1966
489,33,A.A.P.,American,0,1940
490,34,Alvar Aalto,Finnish,Male,2000
530,35,Aino Aalto,Finnish,Female,1983
531,36,Eero Aarnio,Finnish,Male,1987
533,37,Jules Aarons,American,Male,1965
535,38,Magdalena Abakanowicz,Polish,Female,1974
541,39,James Abbe,American,Male,1979
542,40,Jussuf Abbo,Palestinian,Male,1940
544,41,Berenice Abbott,American,Female,1941
622,42,Nobuya Abe,Japanese,Male,1964
624,43,Abe Shiro (pen Name: Suichiku),Japanese,Male,1954
625,44,Robert Abel,American,Male,0
626,46,Sigmund Abeles,American,Male,1966
627,47,Raimund Abraham,American,Male,1980
647,49,Ivor Abrahams,British,Male,1977
648,50,Gerald Abramovitz,British,Male,1966
649,51,William Ross Abrams,American,Male,1949
650,52,Rodolfo Abularach,Guatemalan,Male,1961
692,53,Vito Acconci,American,Male,1974
753,54,Milton Ackoff,American,Male,1968
755,55,Norman Ackroyd,British,Male,1982
758,56,Luis Alberto Acuña,Colombian,Male,1942
759,57,Henri Georges Adam,French,Male,1954
776,58,Antoine Samuel Adam-Salomon,French,Male,1964
780,59,Valerio Adami,Italian,Male,1972
784,60,Ansel Adams,American,Male,1939
1072,61,Alice Adams,American,Female,1998
1074,62,Clinton Adams,American,Male,1974
1136,63,Dacres Adams,British,Male,1937
1137,64,Dennis Adams,American,Male,1990
1138,65,Kenneth M. Adams,American,Male,1969
1139,66,Robert Adams,American,Male,1970
1211,67,Shelby Lee Adams,American,Male,1982
1212,68,Charles Addams,American,Male,1970
1215,69,Allan Adler,American,Male,1950
1216,70,Jankel Adler,Polish,Male,1949
1217,71,Virginia Admiral,American,Female,1944
1218,72,Pic Adrian,Romanian,Male,1980
1229,74,Roy Adzak,British,Male,1967
1230,76,Nicholas Africano,American,Male,1986
1232,77,Afro (Afro Basaldella),Italian,Male,1995
1235,78,Aftograf,Russian,0,1977
1236,79,Agam (Yaacov Agam),Israeli,Male,1976
1239,80,Mehemed Fehmy Agha,American,Male,1940
1240,81,Kathleen Agnoli,American,Female,1980
1242,82,Peter Agostini,American,Male,1963
1243,83,Olympe Aguado de las Marismas,French,Male,1989
1246,84,Dongkuk S. Ahn,American,Male,1966
1247,85,Aarne Aho,Finnish,Male,1960
1248,86,Otl Aicher (also known as Otto Aicher),German,Male,1953
1284,87,Lucien Aigner,American,Male,1989
1286,88,Gregory Ain,American,Male,2014
1287,89,Edgar Ainsworth,British,Male,1950
1290,91,Roberto Aizenberg,Argentine,Male,1969
1292,92,Kinji Akagawa,Japanese,Male,1974
1299,93,Ryoji Akiyama,Japanese,Male,1977
1309,94,Munira Al-Kazi,Kuwaiti,Female,1965
1310,95,Alastair (Hans H. Voight),German,Male,1965
1311,96,Anni Albers,American,Female,0
1509,97,Josef Albers,American,Male,1957
1800,98,Beatrice Albert,American,Female,1950
1801,99,Joan Albert,American,Female,1997
1807,100,Ivan LeLorraine Albright,American,Male,1986
1813,101,Album-miscellaneous,0,0,1943
2198,103,Albert Alcalay,American,Male,1956
2199,104,L. (Alfred Lewin Copley) Alcopley,American,Male,1956
2211,105,A. Alcorn,American,0,1956
2212,106,Alan Aldridge,British,Male,1973
2213,107,Pierre Alechinsky,Belgian,Male,1988
2641,108,Peter Alexander,American,Male,1982
2657,111,Carlo Alfano,Italian,Male,1976
2662,112,José R. Alicea,American,Male,1967
2666,113,Leopoldo and Guiseppe Alinari,Italian,0,1991
2669,114,James Alinder,American,Male,1970
2671,115,Yves Alix,French,Male,1964
2673,116,Wobbe Alkema,Dutch,Male,1985
2677,117,William Allan,American,Male,1979
2678,118,Alexander Alland,American,Male,1941
2681,119,Harry Allen,American,Male,1998
2687,120,Terry Allen,American,Male,1976
2694,121,Adrian Allinson,British,Male,1936
2695,123,Carlos Alonso,Argentine,Male,1967
2696,124,Glen Alps,American,Male,1967
2712,126,Henry Altchek,American,Male,1980
2713,127,Gerhard Altenbourg,German,Male,1962
2717,128,Hobie Alter,American,Male,1962
2718,129,Harold Altman,American,Male,1958
2763,131,Giacchino Altobelli,Italian,Male,1978
2773,132,John Altoon,American,Male,1974
2799,135,Manuel Álvarez Bravo,Mexican,Male,1977
2859,136,Dag Alveng,Norwegian,Male,1982
2860,137,Getulio Alviani,Italian,Male,1965
2866,138,Edmond-François Aman Jean,French,Male,1951
2869,139,Kunihiro Amano,Japanese,Male,1967
2870,140,Jim Amaral,American,Male,1973
2872,141,Emilio Ambasz,Argentine,Male,1992
2892,142,M. Ameen,Nationality unknown,0,1967
2893,143,Irving Amen,American,Male,1955
2897,144,Woody van Amen,Dutch,Male,1981
2898,145,Gregory Amenoff,American,Male,1991
2903,148,Florencia de Amesti,Chilean,Female,1968
2904,149,Cuno Amiet,Swiss,Male,1965
2905,150,Francisco Amighetti Ruiz,Costa Rican,Male,1943
2907,152,Ralph Ammirati,American,Male,0
2908,153,Emma Amos,American,Female,1989
2913,154,Mauricio Amster Cats,Chilean,Male,1937
2914,155,William Anastasi,American,Male,1988
2929,157,Stephen Ancona,American,Male,0
2930,158,Jiþi Anderle,Czech,Male,1981
2932,159,Gunnar Aagaard Andersen,Danish,Male,1966
2933,160,Karin Schou Andersen,Danish,Female,1988
2934,161,Clarence William Anderson,American,Male,1940
2935,162,Carl Anderson,American,Male,0
2936,163,Dennis Anderson,American,Male,1970
2937,164,Jeremy Anderson,American,Male,1936
2940,165,James Anderson,British,Male,1988
2943,166,Jerry Anderson,American,Male,1976
2945,167,John Anderson,British,Male,1962
2946,168,Neil Anderson,American,Male,1966
2947,169,Paul L. Anderson,American,Male,1976
2971,170,Monika Andersson,Swedish,Female,1988
2972,172,Joe Andoe,American,Male,1991
2975,173,Farnese de Andrade-Neto,Brazilian,Male,1968
2977,174,Carl Andre,American,Male,1969
3025,175,Pat Andrea,Dutch,Male,1972
3027,176,A. Andreas,French,0,1956
3028,177,Henning Andreasen,Danish,Male,1980
3034,178,Laura Andreson,American,Female,1950
3035,179,Mariano Andreù,Spanish,Male,1964
3037,180,Benny Andrews,American,Male,1970
3053,181,Emmy Andriesse,Dutch,Female,1976
3066,182,Claudia Andujar,American,Female,1962
3175,183,Manuel Angeles Ortiz,Spanish,Male,1942
3185,184,Ludwig Angerer,Austrian,Male,1982
3186,185,Bruce Angrave,British,Male,1945
3187,186,Raúl Anguiano,Mexican,Male,1944
3203,188,Sibyl Anikeef,American,Female,1968
3204,189,James Craig Annan,British,Male,1976
3205,190,Thomas Annan,British,Male,0
3256,193,David Annesley,British,Male,1968
3257,194,Horst Antes,German,Male,1967
3332,195,William Anthony,American,Male,1977
3333,196,Stephen Antonakos,American,Male,1986
3402,198,Garo Antreasian,American,Male,1966
3481,199,Nemesio Antúnez,Chilean,Male,1974
3496,200,Richard Anuszkiewicz,American,Male,1967
3522,201,Aoki Toshio,0,0,1959
3523,202,Carl Apfelschnitt,American,Male,1985
3529,203,Karel Appel,Dutch,Male,1992
3544,204,Leon Appelbaum,American,Male,1956
3545,205,Ida Applebroog,American,Female,1984
3562,207,Shusaku Arakawa,American,Male,1991
3593,208,Diane Arbus,American,Female,1994
3676,209,Alexander Archipenko,American,Male,1967
3711,211,Mordecai Ardon,Israeli,Male,1952
3713,212,Luis Arenal,Mexican,Male,1943
3716,214,Egmont Arens,American,Male,0
3717,215,Tamotsu Arikawa,Japanese,Male,1972
3719,216,Avigdor Arikha,Romanian,Male,1986
3723,217,Gonzalo Ariza,Colombian,Male,1942
