,Id,Name,placeOfBirth,Gender,DateAcquired
0,10093,Magdalena Abakanowicz,Poland,Female,2009
1,10093,Magdalena Abakanowicz,Poland,Female,2009
2,10093,Magdalena Abakanowicz,Poland,Female,2009
3,10093,Magdalena Abakanowicz,Poland,Female,2009
4,0,Edwin Austin Abbey,United States,Male,1924
5,0,Edwin Austin Abbey,United States,Male,1924
6,0,Edwin Austin Abbey,United States,Male,1924
7,0,Edwin Austin Abbey,United States,Male,1924
8,0,Edwin Austin Abbey,United States,Male,1924
9,0,Edwin Austin Abbey,United States,Male,1924
10,2756,Berenice Abbott,United States,Female,2010
11,2756,Berenice Abbott,United States,Female,2010
12,2756,Berenice Abbott,United States,Female,2010
13,1,Lemuel Francis Abbott,United Kingdom,Male,1885
14,1,Lemuel Francis Abbott,United Kingdom,Male,1968
15,622,Ivor Abrahams,United Kingdom,Male,1976
16,622,Ivor Abrahams,United Kingdom,Male,1975
17,622,Ivor Abrahams,United Kingdom,Male,1975
18,622,Ivor Abrahams,United Kingdom,Male,1975
19,622,Ivor Abrahams,United Kingdom,Male,1975
20,622,Ivor Abrahams,United Kingdom,Male,1975
21,622,Ivor Abrahams,United Kingdom,Male,1980
22,622,Ivor Abrahams,United Kingdom,Male,1979
23,622,Ivor Abrahams,United Kingdom,Male,1986
24,622,Ivor Abrahams,United Kingdom,Male,1986
25,622,Ivor Abrahams,United Kingdom,Male,1986
26,622,Ivor Abrahams,United Kingdom,Male,1986
27,622,Ivor Abrahams,United Kingdom,Male,1986
28,622,Ivor Abrahams,United Kingdom,Male,1986
29,622,Ivor Abrahams,United Kingdom,Male,1986
30,622,Ivor Abrahams,United Kingdom,Male,1986
31,622,Ivor Abrahams,United Kingdom,Male,1986
32,622,Ivor Abrahams,United Kingdom,Male,1986
33,622,Ivor Abrahams,United Kingdom,Male,1986
34,622,Ivor Abrahams,United Kingdom,Male,1986
35,622,Ivor Abrahams,United Kingdom,Male,1986
36,622,Ivor Abrahams,United Kingdom,Male,1986
37,622,Ivor Abrahams,United Kingdom,Male,1986
38,622,Ivor Abrahams,United Kingdom,Male,1986
39,622,Ivor Abrahams,United Kingdom,Male,1986
40,622,Ivor Abrahams,United Kingdom,Male,1986
41,622,Ivor Abrahams,United Kingdom,Male,1986
42,622,Ivor Abrahams,United Kingdom,Male,1986
43,622,Ivor Abrahams,United Kingdom,Male,1986
44,622,Ivor Abrahams,United Kingdom,Male,1986
45,622,Ivor Abrahams,United Kingdom,Male,1986
46,622,Ivor Abrahams,United Kingdom,Male,1986
47,622,Ivor Abrahams,United Kingdom,Male,1986
48,622,Ivor Abrahams,United Kingdom,Male,1986
49,622,Ivor Abrahams,United Kingdom,Male,1986
50,622,Ivor Abrahams,United Kingdom,Male,1986
51,622,Ivor Abrahams,United Kingdom,Male,1986
52,622,Ivor Abrahams,United Kingdom,Male,1986
53,622,Ivor Abrahams,United Kingdom,Male,1986
54,622,Ivor Abrahams,United Kingdom,Male,1986
