,Id,Name,placeOfBirth,Gender,DateAcquired
0,10093,Magdalena Abakanowicz,Poland,Female,2009
4,0,Edwin Austin Abbey,United States,Male,1924
10,2756,Berenice Abbott,United States,Female,2010
13,1,Lemuel Francis Abbott,United Kingdom,Male,1885
15,622,Ivor Abrahams,United Kingdom,Male,1976
123,2606,Absalon,Israel,Male,1997
129,9550,Tomma Abts,Germany,Female,2006
135,623,Vito Acconci,United States,Male,1982
141,624,Roger Ackling,United Kingdom,Male,1983
142,625,Norman Ackroyd,United Kingdom,Male,1975
147,2411,Robert Adam,United Kingdom,Male,1996
150,626,Harry William Adams,United Kingdom,Male,1900
151,627,Norman Adams,United Kingdom,Male,1967
154,628,Robert Adams,United Kingdom,Male,1975
171,629,Bernard Adeney,United Kingdom,Male,1931
172,630,Jankel Adler,Poland,Male,1953
175,2608,Mary Adshead,United Kingdom,Female,1997
177,631,Roy Adzak,United Kingdom,Male,1966
178,632,Afro,Italia,Male,1955
179,633,Eileen Agar,Argentina,Female,1962
187,2,Jacques Laurent Agasse,Switzerland,Male,1979
189,3098,Eija-Liisa Ahtila,Finland,Female,2001
190,8208,Weiwei Ai,China,Male,2008
192,634,Craigie Aitchison,United Kingdom,Male,1975
197,635,Giuseppe Ajmone,Italia,Male,1960
198,14744,Erdag Aksel,Turkey,Male,2011
199,7794,Jananne Al-Ani,Iraq,Female,2009
200,3067,Anni Albers,Germany,Female,0
201,636,Josef Albers,Germany,Male,1976
223,637,Ivan Albright,United States,Male,1978
224,638,John Aldridge,United Kingdom,Male,1961
226,639,Pierre Alechinsky,Belgium,Male,1978
234,640,Edwin Alexander,United Kingdom,Male,1905
235,2470,William Alexander,United Kingdom,Male,1988
239,11315,Victor Alimpiev,Russia,Male,2009
240,2472,Alken Family,0,Male,1997
246,3,Henry Thomas Alken,United Kingdom,Male,1979
251,2471,Samuel Alken  Senior,United Kingdom,Male,1997
254,2473,David Allan,United Kingdom,Male,1996
255,641,Julian Phelps Allan,United Kingdom,Female,1929
256,4,Sir William Allan,United Kingdom,Male,1847
257,2304,George Warner Allen,France,Male,1992
259,5,Joseph William Allen,United Kingdom,Male,1902
260,12153,Phillip Allen,United Kingdom,Male,2008
261,12520,Richard Allen,United Kingdom,Male,2009
262,642,Anthea Alley,Malaysia,Female,1964
263,643,Edward Allington,United Kingdom,Male,1987
266,644,Adrian Allinson,United Kingdom,Male,1974
267,2273,Thomas Allom,United Kingdom,Male,1988
268,6259,Jennifer Allora,United States,Female,2009
270,6,Sir Lawrence Alma-Tadema,Nederland,Male,1894
275,12989,Helena Almeida,Portugal,Female,2012
314,2657,Darren Almond,United Kingdom,Male,1998
315,7620,Pawel Althamer,Poland,Male,2004
320,645,John Altoon,United States,Male,1981
321,4427,Francis Alÿs,Belgium,Male,2003
334,7,Giacomo Amiconi,Italia,Male,1971
336,646,Cuno Amiet,Switzerland,Male,1960
338,7533,Carlos Amorales,México,Male,2005
339,647,Axel Amuchastegui,Spain,Male,1975
340,14647,Michael Amzalag,France,Male,0
341,12583,Hurvin Anderson,United Kingdom,Male,2009
342,8,Henry Anderton,0,Male,1983
343,8961,Armando Andrade Tudela,Perú,Male,2006
345,15587,Jonathas de Andrade,Brasil,Male,2013
346,648,Carl Andre,United States,Male,1972
356,2704,Michel Andreenko,Ukraine,Male,2007
357,649,Michael Andrews,United Kingdom,Male,1958
362,9,Peter Angellis,France,Male,1965
363,650,David Annesley,United Kingdom,Male,1975
376,651,Louis Anquetin,France,Male,1922
379,652,Boris Anrep,Russia,Male,1969
381,13677,Nazgol Ansarinia,Îran,Female,2010
382,10,Richard Ansdell,United Kingdom,Male,1935
383,12475,Giovanni Anselmo,Italia,Male,2009
385,15135,born 1944 Ant Farm (Chip Lord  Doug Michels  1943-2003  Curtis Schreier  born 1944),0,Male,0
386,11604,Eleanor Antin,United States,Female,0
387,653,Richard Anuszkiewicz,United States,Male,1976
388,10241,Alexander Apóstol,Venezuela,Male,2009
389,654,Karel Appel,Nederland,Male,1976
396,655,Leonard Appelbee,United Kingdom,Male,1940
400,656,Fred Appleyard,United Kingdom,Male,1915
401,2364,Rasheed Araeen,Pakistan,Male,1995
414,2752,Nobuyoshi Araki,Japan,Male,2013
416,10494,Juan Araujo,Venezuela,Male,2011
417,5271,Diane Arbus,United States,Female,2009
486,12604,Cory Arcangel,United States,Male,0
487,658,Alexander Archipenko,Ukraine,Male,1960
488,659,Edward Ardizzone,Viet Nam,Male,1940
504,660,Mordecai Ardon,Poland,Male,1963
505,661,Avigdor Arikha,Romania,Male,1987
514,662,Arman,France,Male,1982
516,663,Maxwell Ashby Armfield,United Kingdom,Male,1974
518,11,Edward Armitage,United Kingdom,Male,1866
519,664,Kenneth Armitage,United Kingdom,Male,1976
533,12,Henry Hugh Armstead,United Kingdom,Male,1903
535,665,John Armstrong,United Kingdom,Male,1938
539,13,George Arnald,United Kingdom,Male,1884
540,666,Keith Arnatt,United Kingdom,Male,2011
673,667,Jean Arp,Germany,Male,1951
682,16245,Art & Language (Harold Hurrell),0,Male,2012
683,16236,Art & Language (Ian Burn),Australia,Male,2012
684,16838,Art & Language (Michael Baldwin),United Kingdom,Male,2007
685,2474,William Artaud,United Kingdom,Male,1997
686,669,Richard Artschwager,United States,Male,1986
692,670,Victor Askew,United Kingdom,Male,1948
693,5229,Kutlug Ataman,Turkey,Male,2011
694,6630,Fikret Atay,Turkey,Male,2004
696,15601,Ed Atkins,United Kingdom,Male,2012
697,14,Samuel Atkins,0,Male,1967
698,671,Conrad Atkinson,United Kingdom,Male,1988
708,2412,John Augustus Atkinson,United Kingdom,Male,1997
709,672,Lawrence Atkinson,0,Male,1965
710,11829,Terry Atkinson,United Kingdom,Male,2008
711,673,Jean-Michel Atlan,Al-Jaza'ir,Male,1959
712,15557,Charles Atlas,United States,Male,2013
713,13674,Kader Attia,France,Male,2010
716,674,Clare Atwood,United Kingdom,Female,1937
717,675,Arnold Auerbach,United Kingdom,Male,1985
719,676,Frank Auerbach,Germany,Male,1961
795,14648,Mathias Augustyniak,France,Male,0
796,15,James Aumonier,0,Male,1889
798,2398,David Austen,United Kingdom,Male,1996
809,677,Robert Austin,United Kingdom,Male,1926
813,5711,Richard Avedon,United States,Male,2010
814,10764,Charles Avery,United Kingdom,Male,2012
815,678,Milton Avery,United States,Male,1985
817,2714,François Antoine Aviline,0,Male,0
818,2479,Heneage Finch Aylesford  Fifth Earl of,0,Male,1997
819,2480,Heneage Finch Aylesford  Fourth Earl of,0,Male,1996
869,679,Pierre Ayot,Canada,Male,1976
870,680,OBE Gillian Ayres,United Kingdom,Female,1975
885,681,Michael Ayrton,United Kingdom,Male,1975
896,14743,Ayman Baalbaki,Al-Lubnan,Male,2012
897,13866,Miriam Bäckström,Sweden,Female,0
898,682,Francis Bacon,Ireland,Male,1950
948,683,John Henry F. Bacon,United Kingdom,Male,1971
949,2370,Sir Nathaniel Bacon,0,Male,1995
950,684,Jo Baer,United States,Female,1980
951,685,Olle Baertling,Sweden,Male,1965
953,16,Edward Hodges Baily,United Kingdom,Male,1847
955,686,Enrico Baj,Italia,Male,1978
957,13678,Mahmoud Bakhshi Moakhar,Îran,Male,2010
958,687,John Baldessari,United States,Male,1983
971,2360,Miroslaw Balka,Poland,Male,1995
