,Id,Title,Date,DateAcquired
40557,558,"Birmingham, with Christ Church and St Philip’s Church from the Birmingham and Worcester Canal",1830,0
40532,558,"?Church of the Madonna delle Neve, Molina",1819,0
40531,558,"Ponte Salario, Rome",1819,0
40534,558,Inscription by Turner: A Scale Marked in Inches,1817,0
40552,558,?Part of an Object or Structure or a Diagram,1809,0
40549,558,A Ship and Boats under Sail,1815,0
40556,558,?Lympne Castle,1816,0
40547,558,"?Beginning of a Design for Sandycombe Lodge, Twickenham",1809,0
40539,558,Inscription by Turner: A Note on West Country Subjects,1811,0
40533,558,"Elevation of a House, Possibly a Design for Sandycombe Lodge",1810,0
40555,558,Blank,1831,0
40554,558,Blank,1816,0
40553,558,A Stroke of Watercolour,1807,0
40551,558,[title not known],0,0
40550,558,[title not known],0,0
40527,558,Slight continuation of ‘Heidelberg: The Manheim Gate’,0,0
40542,558,Inscription by Turner: A Date,1811,0
40541,558,Inscription by Turner: A List of Bank-Note Numbers,1813,0
40543,558,"The Upper Stages of the Monument, London, from Below",1808,0
40544,558,"Trees, Probably beside the River Brent",1808,0
40546,558,A Border of Classical Motifs,1808,0
40548,558,"Bridgwater Bay from Blue Anchor Bay, Looking towards South Wales, Steep Holm and Flat Holm",1811,0
40540,558,"Hills, Probably on Dartmoor",1814,0
40537,558,"A Valley between Trees, Perhaps in the West Country",1811,0
40536,558,Part of a Sketch of a Landscape,1819,0
63092,2772,Massacre at Sakiet III,1958,0
67241,7467,No Title,1993,0
67234,7467,Untitled,1993,0
67231,7467,"18 Magnetic Photographic Points, Cumbria",1980,0
54950,10613,[no title],1976,0
54979,10613,[no title],1976,0
54874,10613,Videla and Nuncio Pío Larghi + ‘Clarín’ 5/8/76,1995,0
53913,2643,Self Portrait with Knickers,1994,0
53915,2643,Human Toilet II,1996,0
53918,2643,Got a Salmon On #3,1997,0
40530,558,"Sketch of a Tree, Possibly a Study for ‘An Old Oak’, Rogers’s ‘Poems’",1830,0
51605,6673,[no title],1999,0
63297,1823,Study for ‘Lessons’ II,1999,0
40545,558,Blank,1810,0
53990,1721,Cowbells Tractor Silence,2000,0
67243,7467,[no title],1993,0
54853,10613,"Torture Methods in Germany, Drawing From the 16th Century + Military Cap",1995,0
53936,2614,Exquisite Corpse,2000,0
67242,7467,[no title],1993,0
40538,558,"Temple Bar, Clovelly",1811,0
40564,606,"Distant View of Maecenas’ Villa, Tivoli",1756,1823
40569,600,The Village Holiday,1809,1824
40565,265,The Painter and his Pug,1745,1824
40571,594,Pylades and Orestes Brought as Victims before Iphigenia,1766,1826
40563,444,The Banished Lord,1777,1826
40562,444,A Man’s Head,1771,1826
40560,600,The Blind Fiddler,1806,1826
40568,594,"Cleombrotus Ordered into Banishment by Leonidas II, King of Sparta",1768,1827
40572,594,The Last Supper,1784,1828
40578,444,The Infant Samuel,1776,1828
40566,29,"Landscape, with Jacques and the Wounded Stag",1819,1828
40561,113,"The Collapse of the Earl of Chatham in the House of Lords, 7 July 1778",1779,1830
833,444,The Holy Family with the Infant St John,1788,1830
40897,406,Portrait of a Lady in the Character of Cressida,1800,1834
40567,30,Joseph Nollekens,1812,1835
40576,444,Lord Ligonier,1760,1836
40577,334,"Benjamin West, P.R.A. (replica)",1821,1836
40575,334,John Philip Kemble as Hamlet,1801,1836
40570,602,Landscape with Figures by Moonlight,1826,1837
40573,276,William Smith the Actor,1788,1837
40574,334,Miss Laura Dorothea Ross (Mrs Francis Robertson),1798,1837
40559,444,Three Ladies Adorning a Term of Hymen,1773,1837
40899,496,Manto and Tiresias,1792,1840
40898,496,Ariel on a Bat’s Back,1819,1840
40580,444,A Child’s Portrait in Different Views: ‘Angel’s Heads’,1786,1841
40579,261,Sir Calepine Rescuing Serena,1831,1841
40581,423,"Sir David Wilkie, R.A.",1829,1842
40582,334,Mrs Siddons,1804,1843
41275,302,Sir David Wilkie R.A.,1843,1844
40635,105,Happy as a King (replica),1836,1847
40690,518,"The Canal of the Guidecca, and the Church of the Gesuati, Venice",1836,1847
699,323,High Life,1829,1847
40638,399,A Dutch Girl (‘The Window’),1829,1847
40674,300,Battle of Borodino,1829,1847
40675,300,Utrecht,1829,1847
40596,444,The Age of Innocence,1788,1847
40604,594,Sketch for ‘The Installation of the Order of the Garter’,1787,1847
698,323,Low Life,1829,1847
40695,323,A Dialogue at Waterloo,1850,1847
40598,199,Boy Driving Cows near a Pool,1786,1847
40706,590,Late at School,1834,1847
40697,425,A Syrian Maid,1837,1847
40673,300,Godiva Preparing to Ride through Coventry,1833,1847
40688,518,"Sketch for ‘The Battle of Trafalgar, and the Victory of Lord Nelson over the Combined French and Spanish Fleets, October 21, 1805’",1833,1847
40732,451,Capuchin Friar,1833,1847
40609,531,Diana and her Nymphs Bathing,1816,1847
40692,323,King Charles Spaniels (‘The Cavalier’s Pets’),1845,1847
40717,351,Windsor Forest (‘Wood-Cutting in Windsor Forest’),1834,1847
40720,321,Fruit (‘The Autumn Gift’),1834,1847
40715,112,Milking Time - Study of a Farm-Yard near Canterbury,1833,1847
40691,322,Clarissa Harlowe in the Prison Room of the Sheriff’s Office,1833,1847
41535,16,George Canning (after Joseph Nollekens),1829,1847
40725,277,The Pride of the Village,1839,1847
40608,531,Calypso with her Nymphs Caressing Cupid,1814,1847
40654,558,"Bridge of Sighs, Ducal Palace and Custom-House, Venice: Canaletti Painting",1833,1847
40644,172,The Dangerous Playmate,1833,1847
40709,122,The Stile,1839,1847
40676,392,The Last In,1834,1847
40618,600,Newsmongers,1821,1847
40632,78,Dutch Peasants Waiting the Return of the Passage Boat,1834,1847
40606,531,The Vintage,1821,1847
40595,444,Self-Portrait,1775,1847
40625,78,Returning from Market,1834,1847
40698,339,Cover Side (figures and animals by Sir E. Landseer),1839,1847
40646,172,Christ Appearing to Mary Magdalene after the Resurrection,1834,1847
